IDX	PAGES	MB	TITLE/FIRST-LINES
01	300		Interpreting DNA evidence : statistical genetics for forensic scientists 
02	169		Brain Medicine
03	1106		Network Forensics: Tracking Hackers through Cyberspace (Fernando Lopez-Lezcano's Library)
04	540		Fundamentals of Data Engineering
05	1677		
06	529		Developmental Neuropsychiatry
07	173		A Field Guide to Ghost Guns: For Police and Forensic Investigations
08	305		Epilepsy
09	311		Beating the Devil’s Game
10	415		Neuromorphic Computing Principles and Organization
11	295		The Forensic Psychology of Criminal Minds
12	275		Artificial Intelligence in Bioinformatics and Chemoinformatics
13	321		Forensic Pathology of Unexpected and Unexplained Deaths
14	631		
15	152		The Bone Lady
16	354		
17	3617		
18	494		Digital Forensics for Enterprises Beyond Kali Linux
19	1095		Computer Forensics
20	369		Death Investigation 
21	290		Learn Computer Forensics
22	553		
23	475		Architecture Patterns with Python
24	419		Forensic Psychology For Dummies
25	626		Reinforcement Learning
26	89		Hacking With Kali Linux: The Complete Beginner's Guide With Detailed Practical Examples Of Wireless Networks Hacking & Penetration Testing To Fully Understand The Basics Of Computer Cyber Security
27	209		Network Forensics with Wireshark: Build Practical Expertise in Network Monitoring, Threat Detection, and Cyber Forensics with Wireshark
28	306		
29	991		AI Engineering (for True Epub)
30	671		Fundamental Concepts
31	467		Inflamed
32	419		Forensic Psychology For Dummies
33	57		Neuromorphic Computing Unleashed A Comprehensive Guide for Professionals Artificial Intelligence AI Brain-inspired computing AI hardware revolution Spiking neural networks (SNNs) AI chip technology
34	376		Forensic science : an introduction to scientific and investigative techniques
35	429		Deep Medicine
36	126		AI Engineering in Practice MEAP V02
37	251		Machine Learning for Healthcare Systems: Foundations and Applications
38	357		Practical Linux Forensics
39	167		485865837
40	274		
41	991		High Performance Python (for True Epub)
42	295		Dead Men Do Tell Tales: The Strange and Fascinating Cases of a Forensic Anthropologist
43	459		Hands-On Network Forensics
