01	300	13527872	Interpreting DNA evidence : statistical genetics for forensic scientists 
02	169	12124553	Brain Medicine
03	1106	57009591	Network Forensics: Tracking Hackers through Cyberspace (Fernando Lopez-Lezcano's Library)
04	540	6476653	Fundamentals of Data Engineering
05	1677	23290077	
06	529	11564507	Developmental Neuropsychiatry
07	173	7833680	A Field Guide to Ghost Guns: For Police and Forensic Investigations
08	305	3654813	Epilepsy
09	311	1956846	Beating the Devil’s Game
10	415	39603575	Neuromorphic Computing Principles and Organization
11	295	1485879	The Forensic Psychology of Criminal Minds
12	275	32384844	Artificial Intelligence in Bioinformatics and Chemoinformatics
13	321	86479909	Forensic Pathology of Unexpected and Unexplained Deaths
14	631	11492013	
15	152	8923190	The Bone Lady
16	354	18058390	
17	3617	98379557	
18	494	36989438	Digital Forensics for Enterprises Beyond Kali Linux
19	1095	3834497	Computer Forensics
20	369	76756826	Death Investigation 
21	290	27335365	Learn Computer Forensics
22	553	140037761	
23	475	10413445	Architecture Patterns with Python
24	419	7046187	Forensic Psychology For Dummies
25	626	13652100	Reinforcement Learning
26	89	4917944	Hacking With Kali Linux: The Complete Beginner's Guide With Detailed Practical Examples Of Wireless Networks Hacking & Penetration Testing To Fully Understand The Basics Of Computer Cyber Security
27	209	37347123	Network Forensics with Wireshark: Build Practical Expertise in Network Monitoring, Threat Detection, and Cyber Forensics with Wireshark
28	306	18364139	
29	991	31293058	AI Engineering (for True Epub)
30	671	17934463	Fundamental Concepts
31	467	13243778	Inflamed
32	419	7046187	Forensic Psychology For Dummies
33	57	592072	Neuromorphic Computing Unleashed A Comprehensive Guide for Professionals Artificial Intelligence AI Brain-inspired computing AI hardware revolution Spiking neural networks (SNNs) AI chip technology
34	376	30230831	Forensic science : an introduction to scientific and investigative techniques
35	429	9967676	Deep Medicine
36	126	22117025	AI Engineering in Practice MEAP V02
37	251	26994483	Machine Learning for Healthcare Systems: Foundations and Applications
38	357	2259807	Practical Linux Forensics
39	167	5010270	485865837
40	274	4640698	
41	991	10631062	High Performance Python (for True Epub)
42	295	3277451	Dead Men Do Tell Tales: The Strange and Fascinating Cases of a Forensic Anthropologist
43	459	34379731	Hands-On Network Forensics
