Probe_ID	CpG_chrm	CpG_beg	CpG_end	array
cg01111340	chr3	32781544	32781546	HM450
cg02451052	chr3	32779158	32779160	HM450
cg03779035	chr3	32780144	32780146	HM450
cg05789938	chr3	32781296	32781298	HM450
cg18028347	chr3	32781025	32781027	HM450
cg20100151	chr3	32782825	32782827	HM450
cg23655934	chr3	32781692	32781694	HM450
cg27108452	chr3	32780917	32780919	HM450
cg01111340	chr3	32781544	32781546	EPIC
cg02451052	chr3	32779158	32779160	EPIC
cg03779035	chr3	32780144	32780146	EPIC
cg05789938	chr3	32781296	32781298	EPIC
cg11308114	chr3	32780437	32780439	EPIC
cg18028347	chr3	32781025	32781027	EPIC
cg20100151	chr3	32782825	32782827	EPIC
cg23655934	chr3	32781692	32781694	EPIC
cg27108452	chr3	32780917	32780919	EPIC
